GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,638.17,1236.58,1398.38,-974.52,-8402.16,454.88,3908.8,-1671.21,45.41,-1739.86,-1625.8,-3365.66
2,498.74,1068.99,1393.42,-1002.83,-8394.64,455.5,3915.95,-1699.65,44.61,-2064.87,-1655.04,-3719.92
3,424.44,975.39,1388.86,-1001.88,-8442.59,458.2,3937.27,-1677.93,45.0,-2260.31,-1632.93,-3893.24
4,406.46,918.78,1364.6,-985.52,-8406.6,467.36,3920.67,-1696.91,45.05,-2314.25,-1651.86,-3966.12
5,389.29,877.22,1350.13,-1014.64,-8436.76,447.84,3931.08,-1693.06,44.3,-2455.84,-1648.76,-4104.6
6,370.91,869.29,1354.89,-987.4,-8408.3,455.27,3907.8,-1672.65,44.35,-2437.53,-1628.3,-4065.83
7,340.85,917.17,1365.86,-973.78,-8404.12,453.39,3879.31,-1692.56,44.8,-2421.32,-1647.76,-4069.08
8,356.1,859.28,1387.29,-991.71,-8414.3,449.99,3916.81,-1694.08,45.39,-2436.55,-1648.7,-4085.25
9,352.78,875.07,1369.09,-981.91,-8399.96,447.68,3874.55,-1678.26,45.12,-2462.71,-1633.15,-4095.85
10,348.63,869.83,1354.62,-1005.22,-8374.01,446.53,3869.75,-1693.2,44.9,-2489.85,-1648.3,-4138.15

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,638.11,1233.17,1398.22,-963.45,-8403.14,454.63,3908.94,-1674.55,45.76,-1733.51,-1628.79,-3362.3
2,498.52,1064.15,1393.27,-990.31,-8395.27,455.22,3916.07,-1703.93,45.05,-2058.34,-1658.88,-3717.22
3,424.35,972.1,1387.69,-989.23,-8443.34,457.69,3937.46,-1682.38,45.37,-2253.27,-1637.01,-3890.27
4,406.36,914.05,1364.0,-973.68,-8407.4,466.67,3920.86,-1701.41,45.37,-2309.15,-1656.03,-3965.19
5,388.8,873.6,1350.0,-1003.94,-8437.68,447.17,3931.27,-1697.34,44.57,-2450.77,-1652.77,-4103.53
6,370.7,866.46,1353.6,-976.66,-8409.3,454.27,3907.98,-1675.9,44.72,-2432.95,-1631.17,-4064.13
7,340.7,914.08,1365.42,-961.33,-8405.16,453.17,3879.49,-1696.71,45.16,-2413.63,-1651.55,-4065.17
8,354.76,854.39,1386.63,-982.2,-8415.29,449.53,3917.02,-1697.6,45.65,-2435.16,-1651.95,-4087.11
9,351.97,869.87,1368.63,-970.81,-8400.63,447.63,3874.63,-1682.82,45.39,-2458.7,-1637.43,-4096.13
10,348.46,865.64,1354.4,-993.19,-8374.92,446.0,3869.97,-1696.73,45.15,-2483.64,-1651.58,-4135.23

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,0.06,3.42,0.16,-0.1,0.9,0.25,-0.15,-0.13,1.42,4.55,1.29,5.83
2,0.22,4.84,0.15,-0.1,0.9,0.28,-0.12,-0.12,1.42,6.16,1.3,7.46
3,0.09,3.29,1.17,-0.02,0.93,0.5,-0.19,-0.12,1.41,5.77,1.29,7.06
4,0.1,4.73,0.61,-0.02,0.95,0.69,-0.19,-0.11,1.42,6.87,1.3,8.17
5,0.49,3.62,0.13,-0.05,0.95,0.67,-0.2,-0.11,1.41,5.61,1.3,6.91
6,0.21,2.84,1.29,0.07,0.95,0.99,-0.17,-0.11,1.41,6.17,1.3,7.47
7,0.15,3.09,0.43,-0.09,0.91,0.22,-0.18,-0.13,1.42,4.55,1.29,5.83
8,1.33,4.88,0.66,-0.06,0.93,0.46,-0.21,-0.12,1.41,8.0,1.29,9.29
9,0.81,5.2,0.46,-0.09,0.86,0.04,-0.08,-0.14,1.42,7.2,1.28,8.48
10,0.17,4.2,0.22,0.02,0.96,0.53,-0.22,-0.11,1.42,5.89,1.31,7.19

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,0.0,-0.0,-0.0,-10.97,0.08,0.0,0.0,3.47,-1.77,-10.89,1.7,-9.19
2,0.0,0.0,0.0,-12.42,-0.27,-0.0,-0.0,4.4,-1.86,-12.69,2.54,-10.15
3,0.0,-0.0,0.0,-12.64,-0.18,0.0,0.0,4.57,-1.78,-12.82,2.79,-10.03
4,-0.0,-0.0,0.0,-11.81,-0.15,-0.0,-0.0,4.61,-1.74,-11.97,2.87,-9.1
5,-0.0,-0.0,-0.0,-10.66,-0.03,-0.0,-0.0,4.39,-1.69,-10.69,2.7,-7.98
6,-0.0,0.0,0.0,-10.8,0.05,-0.0,0.0,3.35,-1.78,-10.75,1.57,-9.18
7,0.0,0.0,-0.0,-12.36,0.12,0.0,0.0,4.27,-1.77,-12.24,2.5,-9.74
8,0.0,0.0,0.0,-9.44,0.05,0.0,0.0,3.64,-1.68,-9.39,1.97,-7.43
9,0.0,-0.0,-0.0,-11.01,-0.19,-0.0,-0.0,4.69,-1.69,-11.2,3.0,-8.2
10,0.0,0.0,0.0,-12.05,-0.05,-0.0,-0.0,3.64,-1.66,-12.09,1.98,-10.11


"/56 - LEUxALA Mutant 
GENERALIZED BORN:

"
Complex Energy Terms
